Algorithm: Prim's MST
64534 12619 36
4470 12660 36
12660 27600 21
12660 97466 23
27600 91043 29
91043 3274 7
91043 28191 8
3274 63679 24
63679 15469 25
15469 25711 10
15469 30913 19
30913 97120 16
15469 42552 25
28191 98643 25
98643 48454 23
48454 69413 19
48454 15298 25
28191 93357 27
91043 21394 29
21394 52839 4
15298 72385 32
72385 7926 20
7926 2537 20
72385 11721 27
98643 38315 34
38315 62755 5
38315 30382 12
62755 62982 12
3274 5966 35
5966 9040 28
9040 45719 4
9040 21476 16
21476 73412 30
9040 43960 31
62755 71373 35
7128 12720 36
12720 47111 12
4223 12740 36
12740 19069 15
49349 12753 36
12753 25124 15
12753 51297 17
25124 55191 25
12753 60279 31
1379 12792 36
6836 12918 36
12918 28127 7
28127 32825 3
28127 7027 9
7027 5068 8
28127 65106 9
12918 29306 26
5068 46465 32
28127 6360 34
6360 9809 23
6360 39181 31
39181 15295 21
9809 54186 33
54186 3195 29
3195 1671 27
9809 84678 33
84678 93985 7
7027 62216 35
4751 13101 36
13101 5962 10
5962 2441 16
13101 78015 16
2441 2102 23
27483 13168 36
13168 11534 16
10587 13228 36
13228 62737 18
86641 13259 36
13259 5776 31
5776 78678 7
5776 24820 10
5776 94138 12
7588 13339 36
64779 13384 36
13384 4138 11
13384 79598 31
29889 13443 36
13443 43532 31
43532 87116 29
13443 33638 33
33638 36316 7
36316 43247 1
33638 60376 16
43247 43987 33
2444 13603 36
13603 30131 28
30131 38405 20
38405 77883 9
30131 15763 35
15763 82672 3
15763 2065 5
82672 43471 9
82672 21106 18
2065 83578 33
8968 13625 36
444 13696 36
13696 37531 20
37531 12238 9
12238 20835 2
12238 73595 5
37531 42439 20
37531 8285 23
20835 60791 28
20835 22463 33
36362 13974 36
13974 31574 17
31574 87188 35
90296 14001 36
14001 49341 35
43477 14043 36
68814 14179 36
14997 14387 36
24327 14427 36
67142 14537 36
14537 15312 11
26297 14566 36
14566 1492 7
1492 75813 3
14566 90824 27
19494 14796 36
14796 37525 6
37525 51592 3
16765 14869 36
14869 31596 28
14745 15138 36
12839 15306 36
15306 12718 1
12718 33337 9
15306 87261 19
87261 31398 3
31398 16693 13
16693 2860 13
2860 2368 19
2368 9006 4
9006 44057 8
44057 51730 18
2368 42583 21
9006 56478 21
44057 68732 23
68732 92014 16
92014 58716 4
58716 9294 26
42583 48330 27
48330 68855 27
15306 24869 29
44057 60188 30
2860 16971 34
16971 52591 8
52591 38483 11
52591 67630 11
38483 39102 24
12718 18304 35
18304 53521 29
51730 50949 35
50949 41992 7
41992 26923 17
41992 75330 17
26923 69024 18
14256 15481 36
13768 15505 36
15505 18047 26
18047 33304 16
18047 31562 29
31562 85551 10
31562 39947 22
39947 17605 16
31562 31587 33
31587 17614 28
17614 11887 21
51474 15776 36
15776 95360 8
8348 15787 36
96 15982 36
15982 53875 2
58264 15997 36
15997 32228 21
32228 33361 21
15997 98613 22
86656 16124 36
16124 17780 7
20721 16177 36
16177 36444 1
59360 16182 36
16182 21726 15
17081 16193 36
44852 16329 36
16329 65935 22
16329 15789 34
6660 16379 36
16379 97845 6
97845 80806 5
63000 16402 36
11128 16484 36
23827 16501 36
892 16532 36
16532 66097 2
66097 45413 33
45413 12261 13
12261 20084 6
12261 87838 29
20084 41091 30
41091 35026 34
35026 88248 9
12261 57160 35
57160 98156 22
93722 16601 36
16601 37072 24
3401 16696 36
16696 90410 3
16696 41397 23
3909 16732 36
16732 73082 28
2916 16830 36
16830 23010 23
23010 27426 17
27426 33820 17
33820 49377 15
23010 69914 17
69914 56535 9
16830 66410 24
3379 16858 36
16858 9638 21
9638 13085 2
48738 16973 36
16973 80724 16
80724 32278 3
32278 17341 4
32278 18800 17
18800 25431 21
18800 67416 31
67416 93041 28
4518 17018 36
5267 17191 36
1330 17333 36
6258 17519 36
40011 17537 36
34968 17697 36
74714 17749 36
6278 17819 36
10009 17852 36
17852 13927 25
17852 41786 25
13927 81576 33
34678 18008 36
18008 25788 26
48789 18076 36
4902 18146 36
18115 18314 36
22365 18443 36
37078 18460 36
18460 88602 14
88602 82310 18
91301 18525 36
195 18571 36
963 18702 36
18702 54724 20
18702 9866 33
32746 18734 36
18734 9702 3
18734 33979 7
18734 4522 9
4522 339 18
33979 87143 27
33979 88547 29
88547 97998 30
97998 66968 21
97998 76720 26
4522 49993 33
49993 59137 2
59137 67863 29
67863 16606 31
10860 18741 36
18741 21388 12
4172 18809 36
18809 67566 3
67566 57206 12
23234 19214 36
28795 19231 36
23546 19615 36
19615 1366 10
1366 39939 26
39939 1729 26
1729 62577 2
62577 19268 2
1729 26470 4
62577 7462 7
7462 24849 2
1729 2516 33
2516 55623 7
55623 56272 22
56272 49871 6
2516 56583 28
1729 29725 35
7732 19877 36
19877 3343 34
3343 14368 19
14368 51058 15
51058 97060 3
51058 65518 18
14368 44771 25
97060 25888 33
25888 69443 2
14368 84252 34
1594 19929 36
19929 16781 2
19929 97665 15
19929 24093 19
12618 20045 36
20045 29456 5
29456 17456 5
17456 76673 17
29456 38322 29
38322 25117 2
25117 67769 17
38322 27315 21
27315 18400 26
18400 21153 8
21153 24271 5
24271 10153 5
25117 69059 26
69059 34897 10
38322 40049 30
18400 26551 33
26551 2913 23
20045 74193 33
74193 98209 20
91441 20248 36
38084 20369 36
24919 20382 36
74102 20460 36
49851 20546 36
43166 20572 36
20572 70869 18
20572 20927 19
395 20619 36
20619 24282 1
20619 29044 8
29044 50814 4
20619 35049 12
35049 52783 2
52783 71436 4
71436 79005 9
71436 5238 16
5238 39281 1
24282 41846 18
20619 32927 20
24282 42947 24
42947 71068 23
71068 7576 23
41846 50335 24
41846 78815 26
78815 58043 22
58043 52872 1
58043 36114 14
7576 4725 35
4725 88673 12
4784 20624 36
87849 20706 36
20706 20553 22
5668 20763 36
4411 20936 36
20936 32231 14
49485 21111 36
21111 28201 7
43046 21259 36
21259 18908 11
18908 85395 21
30446 21323 36
21323 18925 34
16496 21385 36
43276 21502 36
21502 72989 11
71015 21727 36
21727 90820 20
90820 79617 7
79617 92599 3
79617 37451 4
37451 84136 28
84136 59941 8
59941 16292 36
19982 21759 36
26759 21798 36
16043 21906 36
21906 15720 18
61815 21967 36
17527 22295 36
37351 22470 36
50365 22509 36
72985 22673 36
22673 17997 13
17997 59118 10
59118 61079 6
59118 27181 28
27181 41443 3
27181 38691 35
29960 22803 36
22803 33575 6
33575 4575 2
22803 29152 14
29152 29215 2
29215 35264 2
4575 92575 16
29215 38178 29
38178 50082 13
38178 32804 33
33575 44637 35
44637 5887 26
5887 94523 16
94523 42746 13
20981 22822 36
22822 86874 4
5551 22839 36
52473 22842 36
29828 23027 36
23027 29121 9
29121 46971 6
29121 91947 16
91947 97159 15
97159 55174 1
38627 23121 36
15860 23168 36
23168 1754 10
23168 18217 23
18217 16737 12
16737 5573 9
5573 12106 34
12106 22959 9
12106 33654 10
22959 23793 11
12106 88460 33
88460 89497 24
6139 23200 36
16451 23499 36
23499 53842 4
23499 99127 34
14109 23635 36
23635 26419 34
37699 23723 36
23723 15719 10
15719 13662 18
13662 48320 2
15719 17072 21
17072 90237 21
23723 79109 34
79109 36311 12
45042 23730 36
23730 19698 10
3701 23808 36
23808 65224 1
65224 58449 33
58449 95787 29
23808 63249 34
63249 67924 2
67924 65843 3
965 23815 36
73837 23842 36
12269 23991 36
57233 23999 36
86272 24142 36
24142 32595 19
32595 36942 20
41713 24603 36
24603 21933 26
8336 24642 36
11350 24769 36
24769 13862 13
13862 77415 1
24769 94416 25
77415 41391 31
41391 65581 6
24769 98939 35
23908 24829 36
34928 24903 36
24903 43581 28
17918 25225 36
25225 33775 6
33775 58594 4
25225 62709 34
62709 33645 20
33645 72099 24
45674 25261 36
97383 25262 36
25262 99702 3
10060 25286 36
25286 93412 10
93412 17728 26
17728 6727 12
6727 51661 15
25286 33755 28
25286 56320 30
56320 41449 19
7474 25441 36
25441 35023 28
177 25477 36
2033 25479 36
66985 25500 36
25500 42170 2
25500 10396 15
10396 51204 31
49459 25518 36
25518 18425 27
18425 13333 1
18425 83841 10
6791 25636 36
21650 25637 36
69448 25739 36
265 25750 36
25750 30626 18
2089 25957 36
25957 44440 34
67355 25979 36
14046 26185 36
26185 21267 1
13259 26234 36
26234 35248 15
35248 17969 21
17969 70638 34
4662 26292 36
12532 26296 36
24647 26408 36
26408 81664 12
2159 26488 36
26488 72081 20
26488 88444 25
24931 26689 36
6163 26982 36
26982 41740 7
41740 30755 9
41740 77164 22
77164 65025 20
26982 14342 24
30755 23788 24
23788 19716 4
23788 28108 11
28108 93715 3
65025 11891 26
11891 28557 8
65025 10262 28
10262 13827 15
77164 9350 30
10262 55594 32
9350 29802 34
65025 74537 35
21249 26987 36
5530 27001 36
65079 27093 36
27093 24889 2
27093 21824 16
21824 20439 17
27093 91387 22
74630 27276 36
42434 27593 36
14847 27736 36
27736 61304 21
11855 27833 36
27833 79632 3
27833 33641 23
3514 27887 36
27887 71066 11
27887 42329 31
31082 27895 36
5645 27900 36
45340 27904 36
97988 28040 36
10550 28042 36
18570 28211 36
28211 26107 2
70745 28256 36
28256 59990 23
59990 80803 2
28256 54402 29
28256 19344 34
58186 28407 36
11025 28484 36
28484 45526 15
85529 28487 36
28487 37474 9
28487 13379 30
46035 28493 36
28493 34453 11
28493 14173 27
93267 28586 36
17491 28591 36
28591 63796 11
63796 82724 6
82724 78633 28
78633 36643 1
78633 73290 31
23141 28713 36
91287 28725 36
78455 28743 36
28743 59423 23
9326 28776 36
26483 28880 36
28880 29594 14
28880 77480 15
77480 84890 18
84890 11222 7
11222 35173 17
28880 28513 21
11222 41937 21
11222 91335 24
91335 29871 23
29871 54605 2
54605 64954 23
64954 46123 24
46123 47884 16
46123 31090 31
54605 60954 33
60954 28370 15
28370 90360 6
60954 90280 33
90280 61861 10
61861 16343 2
16343 32442 10
32442 54891 16
54891 93415 12
61861 12100 20
16343 1835 22
12100 32677 25
93415 81083 25
54891 33340 30
41937 36627 34
36627 41580 13
41580 59435 2
36627 2008 16
36627 89206 26
33340 37271 34
46123 68362 34
12100 13715 36
276 29058 36
15919 29090 36
29090 70086 30
70086 91806 19
70086 64923 33
64923 47755 6
47755 26306 19
91806 66074 34
66074 4244 32
81041 29257 36
12272 29282 36
77160 29629 36
29629 85697 31
44361 29903 36
29903 51377 17
51377 63768 3
63768 43741 9
43741 99393 14
51377 58288 22
58288 87823 16
87823 2044 16
2044 36247 4
36247 73069 6
36247 76204 22
43741 55709 24
43741 36012 25
36247 56015 30
56015 68922 3
99393 69783 30
69783 41280 22
41280 43590 2
41280 81005 5
41280 90063 13
90063 39405 16
90063 95326 23
99393 55797 33
55797 5675 13
5675 78911 11
43590 83516 33
68149 29927 36
62081 29955 36
29955 94326 21
33275 29973 36
62353 30132 36
53775 30166 36
28621 30177 36
69954 30184 36
30184 75658 14
75658 16572 26
52956 30209 36
30209 73311 26
73311 98798 29
9719 30236 36
30236 72753 20
72753 2034 6
2034 21178 5
72753 98677 11
21178 31104 27
31104 78156 27
21178 11838 31
98677 31293 32
31293 96162 13
96162 46223 21
46223 23753 4
7350 30244 36
84674 30298 36
640 30309 36
62158 30379 36
30379 31117 7
30379 62208 11
62208 12603 7
11698 30488 36
30488 59249 4
30488 10711 7
10711 37441 6
10711 37993 33
37993 41652 11
37993 14328 16
14328 20449 1
14328 14605 4
14328 65350 4
14328 44474 14
44474 22379 1
22379 19402 11
14605 99257 17
99257 37497 18
41652 79515 31
65350 6371 33
6371 4079 34
4079 9422 21
4079 23119 23
23119 57516 20
57516 59639 8
59639 31626 7
59639 97368 14
9422 38520 23
97368 40458 23
40458 73348 18
9422 84528 27
57516 53404 28
53404 51431 2
38520 76798 29
31626 53593 33
53593 37896 5
37896 12833 5
12833 12323 3
53593 66650 10
12833 75639 10
75639 92405 11
12833 21826 12
21826 22702 9
22702 29727 13
92405 27964 17
53593 2047 24
12833 4320 24
27964 11549 34
11549 66344 32
66344 74220 28
29727 23247 36
16937 30499 36
37913 30563 36
1938 30820 36
23676 31158 36
33976 31240 36
31240 38843 30
16517 31262 36
31262 59565 29
59565 21936 27
21936 43263 10
43263 35127 15
43263 97595 22
21936 71326 33
71326 76945 26
1837 31312 36
231 31399 36
31399 53915 19
25940 31462 36
42825 31545 36
31545 81779 9
81779 78395 3
49905 31627 36
73317 31633 36
31633 49732 10
31633 91390 26
31633 20185 28
20185 21808 4
20185 52900 33
52900 15644 10
45260 31671 36
31671 97717 26
40452 31776 36
23941 31931 36
31931 81498 18
65333 32077 36
53916 32209 36
19133 32211 36
32211 56920 2
21335 32288 36
41876 32338 36
32338 18223 32
18223 67965 22
11345 32367 36
235 32492 36
25853 32610 36
18753 32845 36
46319 32868 36
48798 32899 36
32899 56903 3
5931 32962 36
34355 33226 36
56931 33280 36
33280 86969 35
1779 33362 36
35695 33391 36
33391 83106 14
83106 41437 10
41437 50779 30
50779 99806 17
90310 33647 36
2693 33828 36
67521 33865 36
33865 86920 14
21323 33887 36
33887 31133 13
32406 33934 36
7099 33992 36
33992 89710 32
89710 51438 21
51438 14471 17
14471 12514 6
12514 49896 25
51438 81989 26
51438 46684 33
81989 76475 34
21727 34198 36
34198 49209 1
49209 79785 12
79785 27962 15
79785 51339 19
51339 91666 26
34198 87814 31
87814 3677 22
87814 65234 26
3677 61009 29
61009 89930 19
89930 10871 26
10871 15183 2
15183 28009 20
46922 34501 36
24198 34523 36
34523 48163 7
34523 93919 14
93919 64803 3
64803 51323 6
85178 34552 36
18471 34586 36
34586 95904 22
29864 34629 36
34629 76523 8
34629 37293 31
37293 61307 5
37293 91031 17
37293 7108 34
7108 22815 6
7108 25091 18
25091 24514 9
24514 71787 32
71787 41207 18
25091 31612 34
32892 34699 36
34699 89009 10
2487 34716 36
34716 70003 20
70003 73765 4
73765 8258 16
34716 25991 21
25991 66863 15
25991 90451 20
8258 69654 22
70003 52520 27
90451 81027 33
70003 17604 34
79120 34884 36
77964 34976 36
708 35025 36
35025 20712 14
35025 36022 14
20712 84239 23
84239 65342 18
35025 61254 24
61254 67363 3
61254 97548 22
97548 68615 20
65342 53219 26
65342 93811 28
81460 35121 36
35121 83536 23
26245 35165 36
35165 80118 33
80118 16969 4
16969 61772 6
61772 72878 34
92385 35263 36
35263 34061 28
76293 35589 36
31716 35850 36
72466 35982 36
35982 78754 19
35982 85038 32
73828 36056 36
36056 17929 24
17929 21210 15
21210 49348 5
49348 78061 8
59553 36183 36
36183 5280 4
5280 16489 25
16489 23888 12
23888 96909 30
96909 86123 8
86123 84041 3
96909 22769 13
22769 67628 1
22769 51620 3
96909 63468 19
84041 50275 25
22769 7088 26
86123 44947 28
63468 94784 28
50275 65059 29
51620 13166 30
13166 14981 31
14981 70974 31
70974 22901 21
16489 18990 34
18990 53284 33
53284 70355 4
70355 9172 23
9172 70897 21
9172 36529 31
2811 36378 36
90334 36382 36
36382 69934 30
15115 36441 36
19714 36491 36
36491 42290 17
13765 36612 36
14389 36624 36
82452 36692 36
36692 57068 18
43708 36803 36
15487 36977 36
36977 96873 20
42674 37178 36
37178 2100 35
24400 37234 36
34185 37648 36
37648 6655 26
6655 16689 19
16689 10410 20
6655 59650 25
29405 37679 36
66330 37803 36
37803 96789 7
96789 45832 11
37803 81970 17
50788 37841 36
37841 95664 13
27368 38059 36
38059 57277 20
57277 53112 12
21097 38121 36
27641 38182 36
204 38252 36
38252 34609 1
49993 38296 36
35235 38503 36
38503 41625 23
41625 48113 18
34977 38597 36
38597 52385 16
52385 88368 10
88368 7747 3
85967 38630 36
38630 45882 8
45882 33903 7
33903 39622 19
39622 57583 2
11228 38631 36
53814 38770 36
38770 93403 32
93403 75239 28
8638 38840 36
38840 21037 8
21037 63925 2
63925 26291 1
21037 82474 3
82474 78502 2
21037 42458 6
42458 41525 25
78502 54879 30
3675 38875 36
650 38889 36
38889 2587 6
2587 44885 7
2587 237 15
38889 48347 21
44885 74854 29
74854 87213 22
87213 81734 17
81734 11174 18
11174 9788 20
9788 98147 25
237 47790 31
47790 27288 2
47790 24082 23
24082 32864 5
32864 68777 16
27288 93561 25
93561 71523 14
71523 40372 10
40372 10808 12
32864 31438 30
93561 22772 34
22772 35972 3
35972 75150 12
75150 70977 26
237 1499 35
1499 19629 2
19629 69043 4
19629 75671 7
69043 83401 11
66328 39075 36
39075 19143 1
19143 46266 26
23744 39220 36
74442 39409 36
39409 59194 12
59194 46231 31
46231 95521 14
33384 39634 36
29908 39726 36
77373 39745 36
43066 39828 36
94905 39855 36
39855 67371 23
4597 40055 36
40055 29093 34
59650 40073 36
20154 40246 36
64975 40288 36
40288 35048 6
52856 40403 36
40403 63901 9
40403 42653 12
42653 48565 27
34798 40413 36
40413 27132 5
27132 12045 27
12045 11062 4
11062 52993 10
52993 5057 23
5057 66577 13
5057 3760 23
27132 91384 28
12045 82014 35
65228 40718 36
40718 18967 14
20492 40880 36
11896 40936 36
45813 41019 36
69502 41318 36
24902 41405 36
41405 45878 30
45878 55400 10
45878 76789 31
24127 41412 36
47660 41572 36
41572 47960 30
55232 41699 36
18664 41743 36
77809 41922 36
41922 69927 1
69927 69203 5
69203 87444 30
87444 65063 12
65063 65197 20
75762 41968 36
41968 34341 20
34341 54330 9
34341 60767 14
41968 4155 29
14346 42041 36
97043 42111 36
24663 42272 36
42272 29807 15
42367 42417 36
55360 42445 36
10455 42454 36
42454 34183 12
42454 64919 17
34183 36165 21
34183 16813 33
16813 30848 20
16813 40988 34
54229 42541 36
29031 42648 36
42648 40435 7
40435 4045 24
4045 9701 18
9701 74056 12
74056 84993 15
74056 49854 18
49854 46936 11
49854 73959 16
74056 98483 30
98483 54260 18
54260 85847 29
85847 81883 22
81883 51055 22
85847 67674 23
67674 96618 22
96618 14543 22
73959 4194 33
9701 17349 36
17349 18143 15
78757 42700 36
42700 27945 1
27945 47448 13
41803 42713 36
42713 78814 12
28946 42849 36
68344 42904 36
71561 42935 36
69209 42969 36
42969 62349 33
62349 39257 26
39257 82157 3
39257 54470 16
82157 72104 20
82157 14357 23
62349 38201 31
38201 62639 9
62639 16325 18
38201 68880 32
14357 7111 36
5440 42976 36
42976 62299 17
87814 43016 36
76652 43020 36
6070 43057 36
43057 81501 27
43057 22176 35
86760 43070 36
52017 43104 36
37576 43225 36
53892 43228 36
43228 46440 11
13172 43703 36
22952 43738 36
80034 43881 36
27764 44088 36
44088 12368 8
44088 14524 15
14524 2985 15
2985 80324 3
80324 58906 8
12368 94212 17
14524 31966 23
58906 32043 23
14524 23652 25
23652 48846 5
23652 80621 15
31966 28754 27
28754 45395 5
28754 62119 25
62119 51880 14
51880 42513 7
42513 20432 13
20432 30698 31
54929 44266 36
10268 44460 36
44460 91351 8
91351 13017 15
13017 15309 36
45432 44527 36
70383 44554 36
44554 68652 1
80109 44789 36
15490 44792 36
44792 78275 8
13377 44805 36
44805 68176 20
44805 45435 23
45435 79115 3
45435 52860 21
44805 54341 23
44805 59209 23
10009 45057 36
39868 45388 36
45388 72694 33
72694 46525 4
46525 16871 32
16871 48272 1
16871 39532 10
48272 58274 18
16871 11947 35
7473 45651 36
45651 24808 3
24808 94411 12
94411 6408 3
6408 75861 11
6408 8087 17
13024 45667 36
51251 45702 36
45521 45751 36
45751 79029 14
79029 25200 13
79029 94181 18
94181 64185 15
64185 40064 17
40064 13079 14
13079 4041 3
13079 51459 6
4041 96500 6
64185 69820 19
45751 60430 26
64185 20543 30
20543 96437 18
40064 18428 31
18428 53478 12
25200 17335 34
78200 45767 36
25706 45905 36
45905 72925 22
75763 46039 36
46039 55925 24
44342 46045 36
46045 54749 9
54749 56390 15
56390 14021 35
14021 77887 4
82646 46092 36
20817 46179 36
46179 21598 19
21598 85598 18
59112 46359 36
9511 46645 36
15227 46666 36
64879 46751 36
46751 37212 8
46751 44675 29
33716 46795 36
46795 56604 27
4226 46909 36
22033 46954 36
91253 46993 36
88261 47072 36
8784 47164 36
47708 47166 36
43818 47177 36
90976 47395 36
41607 47405 36
47405 77890 1
47405 35498 8
35498 31488 5
35498 86872 21
86872 84651 2
84651 75611 5
31488 22060 26
22060 18837 29
18837 4080 9
75611 50454 32
4080 67977 34
77346 47611 36
23524 47701 36
47701 35679 13
35679 6300 8
6300 24503 12
73238 47749 36
91519 47855 36
61027 47902 36
47902 11527 24
18851 47940 36
26730 47945 36
5365 47969 36
93959 47997 36
47997 45252 17
92456 48245 36
48245 32314 2
32314 85076 14
32314 2470 19
32314 75989 28
43303 48365 36
473 48539 36
22466 48540 36
48540 94437 18
96978 48541 36
48541 69246 23
87344 48634 36
1664 48696 36
71771 48755 36
20635 48984 36
2723 49058 36
29815 49103 36
97374 49205 36
18748 49300 36
2829 49311 36
64077 49316 36
63774 49435 36
31191 49583 36
46633 49616 36
75039 49627 36
49627 64716 2
49627 22131 21
64716 70994 23
70994 77991 13
49627 70378 25
70378 98569 15
98569 98600 19
60670 49672 36
24296 49726 36
49726 90340 6
49726 91090 9
54136 49766 36
82133 49777 36
49777 45264 28
99611 49880 36
49880 9954 7
49880 93411 16
9954 52796 19
9954 83212 35
7743 50200 36
50200 76625 33
25314 50212 36
50212 93651 9
50212 42791 10
42791 64227 13
80460 50377 36
860 50618 36
50618 32969 17
32969 26504 26
26504 78140 17
50618 29858 34
29858 79179 12
79179 48567 6
29858 51452 35
33420 50679 36
20834 50807 36
20970 50972 36
50972 56017 10
50972 77045 24
77045 83530 14
83530 27587 21
27587 10474 8
27587 49853 20
1437 51004 36
53309 51034 36
51034 31252 6
31252 40832 21
51034 66645 21
23141 51087 36
51087 32236 1
51087 49141 24
49141 50559 13
51087 54906 27
54906 71808 2
54906 86308 3
71808 99297 6
71808 36918 20
36918 32369 3
32369 89159 18
89159 36507 12
36507 6121 10
71808 75869 23
86308 57292 28
49141 83216 29
50559 53361 34
27379 51278 36
48276 51294 36
61787 51314 36
51314 23315 6
23315 15474 16
15474 14773 12
16205 51495 36
78468 51500 36
51500 15600 1
51500 88137 4
51500 75415 27
15600 67816 28
4138 51520 36
51520 47685 19
47685 5572 9
47685 44350 14
44350 96197 7
96197 97649 11
44350 30415 32
30415 99196 26
30415 39479 30
39479 88528 8
10441 51588 36
3306 51744 36
26136 51944 36
51944 60417 2
28112 51985 36
9099 52088 36
52088 86441 5
86441 48890 34
48890 40343 27
61271 52216 36
12925 52260 36
52260 2816 8
2816 63764 3
63764 66206 14
2816 1946 22
1946 5083 22
2816 62545 32
58573 52299 36
52299 31758 28
31758 27299 34
23139 52442 36
52442 33429 12
33429 32654 30
33429 93588 30
89447 52472 36
52472 86993 21
29619 52512 36
52512 88970 5
5396 52592 36
52592 28849 35
28849 17558 8
69 52751 36
52751 23014 28
23014 48242 14
23014 61241 20
61241 396 32
23014 61545 35
61545 94391 9
27742 52789 36
83637 52812 36
52812 81051 14
41731 52818 36
52818 18380 8
52818 82709 13
52818 68579 19
45633 52858 36
64264 52887 36
52887 97688 1
52887 17553 22
17553 60461 14
97688 62136 25
19143 52914 36
52914 69003 13
52914 84425 18
84425 14295 15
75993 52955 36
21102 52997 36
95642 53062 36
4102 53225 36
53225 31736 20
23226 53414 36
13630 53652 36
53652 31195 25
31195 45492 25
45492 52573 30
52573 75666 21
80118 53692 36
10968 53755 36
53755 7510 3
33576 53810 36
25140 53847 36
25894 54092 36
54092 18230 5
13207 54143 36
64143 54240 36
54240 62120 21
54240 58739 24
58739 19194 7
19194 13742 29
13742 15477 25
52062 54291 36
54291 20094 22
20094 5593 8
20094 80226 8
5593 31711 31
31711 39510 22
31711 75743 27
75743 44475 20
44475 41725 31
41725 83465 28
80226 94490 33
94490 96105 30
96105 20181 27
20181 56943 9
56943 6227 20
96105 42148 31
20094 47273 34
94490 11966 36
11966 67406 10
80237 54403 36
53764 54422 36
657 54468 36
43104 54657 36
54657 32613 6
54657 67500 21
32613 98826 26
15785 54721 36
21251 54767 36
54767 67465 20
44468 54974 36
20662 55120 36
55120 62874 1
55120 80757 5
80757 62464 4
62874 75294 26
62874 58148 29
24351 55238 36
45160 55268 36
55268 24788 1
55268 59905 12
7878 55285 36
40437 55307 36
3837 55375 36
55375 96472 26
62316 55411 36
55411 78419 13
78419 35729 16
35729 54932 18
53767 55419 36
44766 55734 36
55734 34484 3
39566 55747 36
55747 98580 8
55747 83929 25
22417 55828 36
55828 47305 23
47305 19418 1
1464 56011 36
56011 62670 19
62670 83081 7
56577 56078 36
27903 56115 36
27794 56128 36
56128 59742 9
59742 88576 4
59742 97882 8
97882 17682 17
59742 98331 18
17682 91593 26
91593 18690 5
66415 56396 36
6879 56424 36
16425 56602 36
56602 65835 6
65835 44050 13
65835 56833 24
56833 32133 12
32133 24499 8
56833 96248 25
24499 12306 26
12306 11515 9
77311 56661 36
56661 61316 14
56661 12236 35
52440 56753 36
63917 56761 36
56761 8547 24
8547 56031 3
8547 40957 21
40957 17502 36
63645 57313 36
57313 16835 26
16835 86884 3
26788 57340 36
57340 14800 29
14800 14899 9
14800 79143 15
79143 93057 2
79143 31329 27
17572 57454 36
57454 15782 27
10773 57476 36
6325 57624 36
54158 58051 36
58051 97266 3
97266 63217 8
8160 58072 36
20024 58219 36
29255 58258 36
3791 58327 36
90036 58351 36
58351 80264 19
96119 58387 36
93887 58524 36
2907 58548 36
58548 81695 33
5173 58600 36
46490 58708 36
58708 29855 21
29855 26440 1
26440 72539 2
72539 5132 6
5132 46647 14
29855 39199 20
5132 281 21
281 3709 14
3709 60567 16
60567 55791 20
26440 8037 26
8037 8828 26
8828 12394 9
8828 4289 22
4289 2270 15
8828 34838 31
34838 49955 2
46647 93869 31
93869 60130 9
60130 43082 13
60130 58228 31
60130 2929 33
2929 2379 7
2379 8170 11
2929 20315 13
3709 26981 33
26981 55853 6
24993 58713 36
58713 26398 30
26398 59670 19
15162 58786 36
58786 19134 13
3830 58847 36
47830 59028 36
36923 59044 36
85818 59262 36
59262 42212 15
59262 92296 19
23432 59274 36
59274 78996 6
59274 94899 33
90795 59368 36
34954 59498 36
59498 75798 7
75200 59585 36
41150 59656 36
59656 30018 30
15964 59666 36
59666 98601 20
85920 59748 36
59748 57283 4
57283 32984 18
32984 59489 6
59489 73588 2
32984 53203 17
32984 65160 30
65160 38984 2
38984 47105 16
65160 6529 21
6529 898 11
6529 31583 21
31583 43970 8
43970 68963 13
31583 45015 15
45015 67692 14
45015 89594 21
6529 16588 23
16588 37243 11
57283 58821 31
68963 98749 35
40887 59845 36
16352 59877 36
59877 63773 33
20478 60275 36
60275 92527 1
60275 52567 8
92527 66536 30
66536 93083 30
93083 74052 20
62698 60337 36
48427 60361 36
51502 60395 36
60395 50812 11
45451 60479 36
60479 50036 9
50036 57923 2
50036 11399 16
11399 36829 5
60479 86216 21
60479 63579 28
19915 60557 36
60557 57790 10
60557 1332 15
1332 12308 1
44989 60763 36
60763 44011 5
44011 12350 17
60763 17364 18
17364 11703 9
17364 21744 10
12350 6107 25
6107 32061 9
12350 84125 27
32061 88520 27
11703 79551 28
79551 27034 17
5011 60810 36
1979 60895 36
28407 60971 36
6580 61025 36
61025 68979 27
86014 61294 36
61294 97730 29
14593 61318 36
3663 61589 36
61589 33258 1
63609 61612 36
61612 35911 16
35911 43168 9
35911 53497 16
59478 61650 36
61650 99648 26
99648 32048 13
32048 12763 25
12763 90203 30
32048 99283 34
23232 61949 36
33394 62018 36
93404 62049 36
62049 77046 33
77046 54801 20
30335 62086 36
62086 16421 18
62086 86518 23
16421 31767 26
21503 62122 36
62122 35166 19
35166 15828 8
62122 84189 21
84189 24401 25
24401 47030 14
47030 13082 7
84189 95969 29
24401 19377 30
19377 16261 7
19377 11724 11
11724 16461 12
19377 29653 13
19377 78694 21
78694 58272 13
19377 63046 24
16261 77805 26
58272 92118 34
92118 75878 4
92118 48056 16
48056 82915 15
75878 38587 25
37014 62340 36
